Five Fingers of Funk,Genuine,0.315885,2.00E-05
Kate Clinton,The Urge To Merge,0.485538,6.80E-05
Olivier Messiaen,Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : VII Le Mystère De La Sainte-Trinité,0.035841,0.00027
The Sun Harbor's Chorus-Documentary Recordings,Taps,0.124724,0.001307
David Palmer,Émergences: III. Fragments d'épaves,0.03657,0.002363
Diamanda Galas,Vena Cava 8,0.034455,0.002461
Georges Brassens,Colombine,0.69254,0.002784
David Zinman;Pittsburgh Symphony Orchestra,Concerto for Orchestra (Zoroastrian Riddles) (1996)/3. Adagio non troppo,0.035855,0.004031
The Beatles,Derek Taylor - Introduction,0.832064,0.004709
The American Boychoir,Intermezzo,0.051657,0.006685
James Horner,Atmosphere Station,0.031822,0.006698
The American Boychoir,Minuet in g minor,0.398653,0.006829
Jane Winther,Om,0.032415,0.006929
Toots Thielemans,Le Temps Des Cerises,0.251329,0.008033
Gonzalo Rubalcaba,Yesterdays,0.115464,0.00926
Stephan Micus,Contessa Entellina,0.039971,0.009368
Jane Winther,Kyrie Eleison,0.237017,0.009614
Michèle Crider;Eleonora Jankovic;Vincenzo La Scola;Riccardo Muti,Mefistofele/La luna immobile,0.03777,0.009619
Dan Shen_ Gruppo Vocale Cantemus_ Ensemble Airone_ Luigi Marzola,Miserere: IV. Quoniam Iniquitatem,0.100559,0.010603
Dave Eggar,Sorrow's Call,0.216225,0.011212
John Davis,Knocked Out Of The Park,0.203015,0.014472
James Newton Howard,Photographs,0.037554,0.015084
Dino,Wonderful Peace,0.134365,0.015117
Timothy Byram-Wigfield,Les Corps Glorieux: III. L'Ange aux parfums,0.068389,0.019311
Angel Romero,Prelude No. 2 (2000 Digital Remaster),0.200142,0.019756
Lester Bowie,Organic Echo (Part II),0.077821,0.01979
The Wes Montgomery Trio,Satin Doll,0.328119,0.022138
Through the Eyes of the Dead,Outro,0.044252,0.02275
The Russell Family,Tatter Jack Walsh,0.990933,0.02296
Marco Beltrami,Revelations,0.03204,0.02314
Marion Harris,Would You Like To Take A Walk?,0.412107,0.023302
Dan Shen_ Gruppo Vocale Cantemus_ Ensemble Airone_ Luigi Marzola,Miserere: XII. Ne Projicias,0.07554,0.023865
Philip Glass,Left Alone...,0.111564,0.024079
Angelo Badalamenti,Jeffrey's Dark Side,0.034482,0.024662
Sonny Simmons,A Distant Voice,0.091085,0.025005
Lionel Rogg,Fantasia In C Major BWV 570,0.047069,0.025574
Tony Martin,September Song,0.039469,0.026382
Rachel Portman,Bridget,0.037283,0.027696
US Coast Guard Band,America The Beautiful,0.038327,0.028166
Rolfe Kent,A Night at Mahmoud's,0.092908,0.028765
Dave Rave_ Mark McCarron,Face,0.060312,0.029092
Luiz Bonfa,Manhã de Carnaval,0.256677,0.030188
Karlheinz Stockhausen,02'-15',0.062264,0.030786
