1	"aardvark"	6.26	2.21	19	2.41	1.4	22
2	"abalone"	5.3	1.59	20	2.65	1.9	20
3	"abandon"	2.84	1.54	19	3.73	2.43	22
4	"abandonment"	2.63	1.74	19	4.95	2.64	21
5	"abbey"	5.85	1.69	20	2.2	1.7	20
6	"abdomen"	5.43	1.75	21	3.68	2.23	22
7	"abdominal"	4.48	1.59	23	3.5	1.82	22
8	"abduct"	2.42	1.61	19	5.9	2.57	20
9	"abduction"	2.05	1.31	19	5.33	2.2	21
10	"abide"	5.52	1.75	21	3.26	2.22	23
11	"abiding"	5.57	1.75	23	3.59	2.26	22
12	"ability"	7	1.59	20	4.85	2.74	20
13	"abject"	4	1.29	19	3.94	2.41	17
14	"ablaze"	5.15	1.79	20	6.75	2.12	20
15	"able"	6.64	1.79	22	3.38	2.25	21
16	"abnormal"	3.53	1.22	19	4.48	2.29	21
17	"abnormality"	3.05	1.81	19	5	2.62	22
18	"abode"	5.28	1.27	18	2.9	1.89	21
19	"abolish"	3.84	1.54	19	4.18	2.07	17
20	"abominable"	4.05	1.23	20	5.45	2.44	22
21	"abomination"	2.5	1.65	18	5.9	2.59	20
22	"abort"	3.1	1.37	20	5.8	2.44	20
23	"abortion"	2.58	1.84	19	5.43	2.38	47
24	"abracadabra"	5.11	2.52	18	5.27	2.64	22
25	"abrasive"	4.26	1.69	19	6.1	1.89	21
26	"abreast"	4.62	1.94	21	4.61	2.33	23
27	"abrupt"	3.28	1.64	18	5.23	2	22
28	"abscess"	2.79	1.58	19	4	2.38	20
29	"absence"	3.86	2.08	21	4.3	2.13	20
30	"absent"	4.1	1.55	21	3.72	2.48	25
31	"absinthe"	3.53	1.98	19	3.7	2.34	20
32	"absolute"	5.43	1.4	21	3.48	2.27	23
33	"absolution"	6.58	1.68	19	3.38	2.11	21
34	"absolve"	4.58	1.54	19	3.53	1.94	17
35	"absorb"	5.5	1.6	22	4.27	1.91	22
36	"abstain"	4.4	0.94	20	3.1	1.81	21
37	"abstinence"	3.43	1.63	21	3.15	2.37	20
38	"abstract"	5.25	1.59	20	3.96	2.9	24
39	"absurd"	4.45	1.92	40	4.02	2.06	43
40	"absurdity"	4.06	2.18	18	4.7	2.36	23
41	"abundance"	6.67	1.5	18	4.72	2.7	18
42	"abundant"	7.55	1.39	20	4.21	2.7	19
43	"abuse"	1.53	1.07	19	6.21	2.17	42
44	"abusive"	2.05	1.7	20	5.27	2.43	22
45	"abysmal"	3.45	1.39	20	3.91	1.98	23
46	"abyss"	3.9	1.51	21	4.85	2.41	20
47	"academic"	6.61	1.54	18	3.32	2.23	22
48	"academy"	5.32	1.89	19	3.77	2.16	22
49	"accelerant"	4.59	1.59	22	4.81	2.14	26
50	"accelerate"	6.1	1.48	21	6.04	1.77	23
51	"accelerated"	6.21	1.55	19	4.75	2.67	24
52	"acceleration"	6.19	1.54	21	6.73	2.1	22
53	"accelerator"	5.63	1.16	19	5	2.45	18
54	"accent"	6.48	1.54	21	4.95	2.67	20
55	"accept"	6.39	1.65	18	2.8	2.26	20
56	"acceptable"	6.59	1.53	22	3.65	2.33	23
57	"acceptance"	6.84	1.31	38	4.3	2.82	46
58	"access"	6.68	1.39	22	5.3	2.32	20
59	"accessible"	6.68	1.38	19	3.2	2.42	25
60	"accessory"	5.35	1.9	20	4.22	2.69	18
61	"accident"	2.55	1.25	42	4.93	2.56	43
62	"accidental"	3.46	1.25	24	4	2.47	20
63	"acclaim"	6.1	1.61	21	3.95	2.01	22
64	"accommodate"	6.35	1.73	20	3	1.61	18
65	"accommodation"	6.76	1.7	21	4.72	2.07	25
66	"accompany"	5.47	1.22	19	3.85	1.84	20
67	"accomplice"	4.6	1.39	20	4.5	2.61	20
68	"accomplish"	7.45	1.15	20	5.16	2.81	19
69	"accomplishment"	8.05	0.86	21	4.96	2.3	25
70	"accord"	6.38	1.56	21	2.85	1.9	20
71	"accordion"	5.26	2.08	19	2.94	2.21	18
72	"account"	5.39	1.61	18	3.76	2.49	21
73	"accountability"	4.89	1.94	19	3.7	2.27	20
74	"accountable"	5.7	1.69	20	4.2	1.96	20
75	"accountant"	5.19	1.69	21	3.81	2.18	21
76	"accounting"	4.42	2.09	19	3.68	2.4	22
77	"accumulate"	6.33	2	18	2.73	2.27	22
78	"accuracy"	6.32	1.7	19	3.33	2.18	21
79	"accurate"	7.42	1.57	19	4.35	2.25	23
80	"accursed"	3.21	1.36	19	5.33	2.13	21
81	"accusation"	3.38	1.75	21	5.48	2.23	23
82	"accuse"	2.68	1.63	19	5.32	2.08	22
83	"ace"	6.37	1.34	19	4.64	2.38	22
84	"acetylene"	4.11	1.63	19	3.67	2.06	21
85	"ache"	3.27	2.01	40	4.3	2.26	47
86	"achieve"	7.75	1.16	20	4.7	2.96	23
87	"achievement"	7.28	2.15	40	5.57	2.17	23
88	"achy"	3.15	1.46	20	4.48	1.89	21
